Date,Category,Company
1/24/17,Dinner,Friends
1/25/17,,
1/26/17,,
1/27/17,Party,Friends
1/28/17,Travel,Us
1/29/17,Travel,Us
1/30/17,Travel,Us
1/31/17,Travel,Us
2/1/17,Travel,Us
2/2/17,Travel,Us
2/3/17,Travel,Us
2/4/17,Travel,Us
2/5/17,Travel,Us
2/6/17,Travel,Us
2/7/17,Travel,Us
2/8/17,Travel,Us
2/9/17,Travel,Us
2/10/17,Travel,Us
2/11/17,Travel,Us
2/12/17,Travel,Us
2/13/17,Bachelor,Friends
2/14/17,,
2/15/17,Drinks,Us
2/16/17,,
2/17/17,Travel,Friends
2/18/17,Travel,Friends
2/19/17,Theater,Family
2/20/17,Bachelor,Family
2/21/17,,
2/22/17,,
2/23/17,Dance,Us
2/24/17,Dinner,Friends
2/25/17,,
2/26/17,,
2/27/17,Bachelor,Friends
2/28/17,,
3/1/17,,
3/2/17,Dance,Us
3/3/17,,
3/4/17,,
3/5/17,,
3/6/17,Bachelor,Friends
3/7/17,Apart,
3/8/17,Apart,
3/9/17,Apart,
3/10/17,,
3/11/17,,
3/12/17,,
3/13/17,Bachelor,Friends
3/14/17,,
3/15/17,,
3/16/17,,
3/17/17,,
3/18/17,,
3/19/17,,
3/20/17,Apart,
3/21/17,Apart,
3/22/17,Apart,
3/23/17,Apart,
3/24/17,Drinks,
3/25/17,Party,Friends
3/26/17,,
3/27/17,,
3/28/17,,
3/29/17,,
3/30/17,,
3/31/17,,
4/1/17,Dinner,Friends
4/2/17,Dinner,Friends
4/3/17,,
4/4/17,,
4/5/17,,
4/6/17,,
4/7/17,Dinner,Friends
4/8/17,Travel,Friends
4/9/17,Travel,Friends
4/10/17,,
4/11/17,,
4/12/17,Park,Us
4/13/17,Dance,Us
4/14/17,Dinner,Friends
4/15/17,,
4/16/17,,
4/17/17,Apart,
4/18/17,Apart,
4/19/17,Apart,
4/20/17,Apart,
4/21/17,,
4/22/17,Party,Friends
4/23/17,,
4/24/17,Dinner,Friends
4/25/17,,
4/26/17,Comedy,Friends
4/27/17,,
4/28/17,Apart,
4/29/17,Apart,
4/30/17,Apart,
5/1/17,Apart,
5/2/17,Apart,
5/3/17,Theater,Us
5/4/17,Dinner,Friends
5/5/17,Travel,Friends
5/6/17,Wedding,Friends
5/7/17,Travel,Friends
5/8/17,Apart,
5/9/17,Apart,
5/10/17,Apart,
5/11/17,Apart,
5/12/17,Drinks,Friends
5/13/17,Drinks,Friends
5/14/17,,
5/15/17,,
5/16/17,,
5/17/17,,
5/18/17,,
5/19/17,,
5/20/17,Travel,Friends
5/21/17,Travel,Friends
5/22/17,Apart,
5/23/17,Apart,
5/24/17,Apart,
5/25/17,Apart,
5/26/17,Apart,
5/27/17,Party,Friends
5/28/17,,
5/29/17,,
5/30/17,,
5/31/17,,
6/1/17,,
6/2/17,,
6/3/17,Dinner,Friends
6/4/17,,
6/5/17,,
6/6/17,,
6/7/17,,
6/8/17,Drinks,Friends
6/9/17,Travel,Family
6/10/17,Travel,Family
6/11/17,Travel,Family
6/12/17,,
6/13/17,,
6/14/17,,
6/15/17,Apart,
6/16/17,Apart,
6/17/17,Apart,
6/18/17,Apart,
6/19/17,Apart,
6/20/17,Apart,
6/21/17,Apart,
6/22/17,Apart,
6/23/17,Apart,
6/24/17,Apart,
6/25/17,Apart,
6/26/17,Apart,
6/27/17,,
6/28/17,,
6/29/17,,
6/30/17,Dinner,Friends
7/1/17,Theater,Family
7/2/17,Dinner,Family
7/3/17,,
7/4/17,Dinner,Family
7/5/17,,
7/6/17,,
7/7/17,,
7/8/17,,
7/9/17,,
7/10/17,Apart,
7/11/17,Apart,
7/12/17,Apart,
7/13/17,Apart,
7/14/17,Drinks,Friends
7/15/17,Dinner,Friends
7/16/17,Dinner,Friends
7/17/17,,
7/18/17,,
7/19/17,,
7/20/17,Dinner,Friends
7/21/17,Theater,Friends
7/22/17,Party,Friends
7/23/17,Party,Friends
7/24/17,,
7/25/17,,
7/26/17,,
7/27/17,Dinner,Friends
7/28/17,Party,Friends
7/29/17,,
7/30/17,,
7/31/17,,
8/1/17,Apart,
8/2/17,Apart,
8/3/17,Apart,
8/4/17,Apart,
8/5/17,Apart,
8/6/17,,
8/7/17,,
8/8/17,,
8/9/17,,
8/10/17,Drinks,Friends
8/11/17,,
8/12/17,Party,Friends
8/13/17,Beach,Friends
8/14/17,,
8/15/17,,
8/16/17,,
8/17/17,,
8/18/17,,
8/19/17,,
8/20/17,,
8/21/17,Apart,
8/22/17,Apart,
8/23/17,Apart,
8/24/17,Apart,
8/25/17,Apart,
8/26/17,Travel,Friends
8/27/17,Travel,Friends
8/28/17,Travel,Friends
8/29/17,Travel,Friends
8/30/17,Travel,Friends
8/31/17,Travel,Friends
9/1/17,Travel,Friends
9/2/17,Travel,Friends
9/3/17,Travel,Friends
9/4/17,Travel,Friends
9/5/17,Travel,Family
9/6/17,Travel,Family
9/7/17,Travel,Family
9/8/17,Travel,Family
9/9/17,Travel,Family
9/10/17,Travel,Family
9/11/17,,
9/12/17,Apart,
9/13/17,Apart,
9/14/17,Apart,
9/15/17,Apart,
9/16/17,Party,Friends
9/17/17,,
9/18/17,Drinks,Friends
9/19/17,,
9/20/17,,
9/21/17,,
9/22/17,Theater,Friends
9/23/17,,
9/24/17,,
9/25/17,,
9/26/17,,
9/27/17,,
9/28/17,,
9/29/17,Drinks,Friends
9/30/17,,
10/1/17,Party,Friends
10/2/17,,
10/3/17,,
10/4/17,,
10/5/17,,
10/6/17,Travel,Family
10/7/17,Travel,Family
10/8/17,Wedding,Family
10/9/17,,
10/10/17,,
10/11/17,,
10/12/17,,
10/13/17,Dinner,Friends
10/14/17,Party,Friends
10/15/17,Dinner,Friends
10/16/17,,
10/17/17,Dinner,Us
10/18/17,Apart,
10/19/17,Apart,
10/20/17,Apart,
10/21/17,Apart,
10/22/17,Apart,
10/23/17,,
10/24/17,,
10/25/17,Theater,Friends
10/26/17,,
10/27/17,Theater,Us
10/28/17,Party,Friends
10/29/17,,
10/30/17,Apart,
10/31/17,Apart,
11/1/17,Apart,
11/2/17,Apart,
11/3/17,Dinner,Friends
11/4/17,Dinner,Friends
11/5/17,,
11/6/17,,
11/7/17,,
11/8/17,,
11/9/17,,
11/10/17,,
11/11/17,Party,Friends
11/12/17,,
11/13/17,Seattle,
11/14/17,Seattle,
11/15/17,Seattle,
11/16/17,Seattle,
11/17/17,Travel,Family
11/18/17,Travel,Family
11/19/17,Travel,Family
11/20/17,,
11/21/17,,
11/22/17,Travel,Family
11/23/17,Travel,Family
11/24/17,Travel,Family
11/25/17,Travel,Family
11/26/17,Travel,Family
11/27/17,,
11/28/17,,
11/29/17,,
11/30/17,,
12/1/17,,
12/2/17,Travel,Friends
12/3/17,Travel,Friends
12/4/17,,
12/5/17,Dinner,Friends
12/6/17,,
12/7/17,,
12/8/17,,
12/9/17,Theater,Friends
12/10/17,Drinks,Friends
12/11/17,,
12/12/17,,
12/13/17,,
12/14/17,Party,Friends
12/15/17,Apart,
12/16/17,Apart,
12/17/17,Apart,
12/18/17,Apart,
12/19/17,Apart,
12/20/17,Apart,
12/21/17,Apart,
12/22/17,Travel,Family
12/23/17,Travel,Family
12/24/17,Travel,Family
12/25/17,Travel,Family
12/26/17,Travel,Family
12/27/17,,
12/28/17,Travel,Friends
12/29/17,Travel,Friends
12/30/17,Travel,Friends
12/31/17,Travel,Friends
1/1/18,Travel,Friends
1/2/18,,
1/3/18,,
1/4/18,,
1/5/18,,
1/6/18,,
1/7/18,,
1/8/18,,
1/9/18,,
1/10/18,,
1/11/18,,
1/12/18,Travel,Friends
1/13/18,Travel,Friends
1/14/18,Travel,Friends
1/15/18,,
1/16/18,,
1/17/18,,
1/18/18,,
1/19/18,Party,Friends
1/20/18,Drinks,Friends
1/21/18,,
1/22/18,Apart,
1/23/18,Apart,
1/24/18,Apart,
1/25/18,Apart,
1/26/18,Apart,
1/27/18,Theater,Us
1/28/18,Drinks,Friends
1/29/18,,
1/30/18,,
1/31/18,Dinner,Friends
2/1/18,,
2/2/18,Travel,Friends
2/3/18,Travel,Friends
2/4/18,Travel,Friends
2/5/18,Travel,Friends
2/6/18,Travel,Friends
2/7/18,Travel,Friends
2/8/18,Travel,Friends
2/9/18,Travel,Friends
2/10/18,Travel,Friends
2/11/18,,
2/12/18,,
2/13/18,,
2/14/18,,
2/15/18,,
2/16/18,,
2/17/18,,
2/18/18,Party,Friends
2/19/18,,
2/20/18,,
2/21/18,,
2/22/18,,
2/23/18,Dinner,Family
2/24/18,Dinner,Family
2/25/18,Drinks,Us
2/26/18,,
2/27/18,,
2/28/18,,
3/1/18,,
3/2/18,Drinks,Friends
3/3/18,,
3/4/18,,
3/5/18,,
3/6/18,,
3/7/18,,
3/8/18,,
3/9/18,,
3/10/18,,
3/11/18,Museum,Friends
3/12/18,Apart,
3/13/18,Apart,
3/14/18,Apart,
3/15/18,Apart,
3/16/18,Apart,
3/17/18,Apart,
3/18/18,Apart,
3/19/18,Apart,
3/20/18,,
3/21/18,,
3/22/18,,
3/23/18,Apart,
3/24/18,Apart,
3/25/18,Apart,
3/26/18,,
3/27/18,,
3/28/18,,
3/29/18,,
3/30/18,Travel,Friends
3/31/18,Travel,Friends
4/1/18,Travel,Friends
4/2/18,,
4/3/18,,
4/4/18,,
4/5/18,,
4/6/18,,
4/7/18,Dinner,Friends
4/8/18,,
4/9/18,,
4/10/18,,
4/11/18,,
4/12/18,Apart,
4/13/18,Apart,
4/14/18,Apart,
4/15/18,Apart,
4/16/18,Apart,
4/17/18,,
4/18/18,,
4/19/18,,
4/20/18,Drinks,Friends
4/21/18,Drinks,Friends
4/22/18,,
4/23/18,Apart,
4/24/18,Apart,
4/25/18,Apart,
4/26/18,Apart,
4/27/18,,
4/28/18,Theater,Family
4/29/18,,
4/30/18,,
5/1/18,,
5/2/18,,
5/3/18,Travel,Us
5/4/18,Travel,Us
5/5/18,Travel,Us
5/6/18,Travel,Us
5/7/18,Travel,Us
5/8/18,,
5/9/18,,
5/10/18,,
5/11/18,,
5/12/18,Party,Friends
5/13/18,,
5/14/18,,
5/15/18,,
5/16/18,,
5/17/18,,
5/18/18,,
5/19/18,,
5/20/18,,
5/21/18,,
5/22/18,,
5/23/18,,
5/24/18,,
5/25/18,Travel,Friends
5/26/18,Travel,Friends
5/27/18,Travel,Friends
5/28/18,,
5/29/18,Apart,
5/30/18,Apart,
5/31/18,Apart,
6/1/18,Apart,
6/2/18,Party,Friends
6/3/18,,
6/4/18,,
6/5/18,,
6/6/18,,
6/7/18,,
6/8/18,Travel,Friends
6/9/18,Wedding,Friends
6/10/18,Travel,Friends
6/11/18,Travel,Friends
6/12/18,Travel,Family
6/13/18,Travel,Family
6/14/18,Travel,Family
6/15/18,Travel,Friends
6/16/18,Wedding,Friends
6/17/18,Travel,Family
6/18/18,,
6/19/18,,
6/20/18,Dinner,Friends
6/21/18,,
6/22/18,Dinner,Friends
6/23/18,Drinks,Friends
6/24/18,Park,Friends
6/25/18,,
6/26/18,Dinner,Family
6/27/18,,
6/28/18,Theater,Family
6/29/18,Dinner,Family
6/30/18,Drinks,Friends
7/1/18,Party,Friends
7/2/18,,
7/3/18,Party,Friends
7/4/18,,
7/5/18,Drinks,Friends
7/6/18,,
7/7/18,,
7/8/18,,
7/9/18,,
7/10/18,,
7/11/18,,
7/12/18,,
7/13/18,,
7/14/18,Apart,
7/15/18,Apart,
7/16/18,Apart,
7/17/18,Apart,
7/18/18,Apart,
7/19/18,Apart,
7/20/18,Apart,
7/21/18,Apart,
7/22/18,Apart,
7/23/18,,
7/24/18,,
7/25/18,,
7/26/18,Drinks,Friends
7/27/18,,
7/28/18,,
7/29/18,,
7/30/18,Apart,
7/31/18,Apart,
8/1/18,Apart,
8/2/18,,
8/3/18,Dinner,Friends
8/4/18,,
8/5/18,,
8/6/18,Apart,
8/7/18,Apart,
8/8/18,Apart,
8/9/18,Apart,
8/10/18,,
8/11/18,,
8/12/18,Dinner,Us
8/13/18,,
8/14/18,,
8/15/18,,
8/16/18,,
8/17/18,Dinner,Friends
8/18/18,Apart,
8/19/18,Apart,
8/20/18,Apart,
8/21/18,Apart,
8/22/18,Apart,
8/23/18,Apart,
8/24/18,Apart,
8/25/18,Apart,
8/26/18,Travel,Friends
8/27/18,Travel,Friends
8/28/18,Travel,Friends
8/29/18,Travel,Friends
8/30/18,Travel,Friends
8/31/18,Travel,Friends
9/1/18,Travel,Friends
9/2/18,Travel,Friends
9/3/18,Travel,Friends
9/4/18,Travel,Friends
